image_id,true_label,pred_label,confidence,origin_export,enhanced_export,visual_error_note
ISIC_0030107,mel,nv,0.99972177,failure_analysis_outputs\images\high_confidence_errors\01_ISIC_0030107_mel_to_nv_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\01_ISIC_0030107_mel_to_nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。 该图 hair_ratio 较高，毛发或线状背景纹理可能额外干扰边界和局部纹理判断。 病灶位于 scalp，该部位更容易受到毛发、光照或背景纹理影响。
ISIC_0028611,bkl,akiec,0.99960274,failure_analysis_outputs\images\high_confidence_errors\02_ISIC_0028611_bkl_to_akiec_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\02_ISIC_0028611_bkl_to_akiec_enhanced.jpg,bkl 被判为 akiec，通常与红褐色、粗糙或角化样区域有关，两类都可能呈现表面角化/鳞屑样视觉线索。
ISIC_0029289,bkl,nv,0.997402,failure_analysis_outputs\images\high_confidence_errors\03_ISIC_0029289_bkl_to_nv_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\03_ISIC_0029289_bkl_to_nv_enhanced.jpg,bkl 被判为 nv，常见于病灶较小、颜色集中、角化纹理不明显的样本；模型更容易把它当作普通色素痣。
ISIC_0034205,mel,nv,0.9959276,failure_analysis_outputs\images\high_confidence_errors\04_ISIC_0034205_mel_to_nv_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\04_ISIC_0034205_mel_to_nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。 该图 hair_ratio 较高，毛发或线状背景纹理可能额外干扰边界和局部纹理判断。
ISIC_0033444,mel,nv,0.9953502,failure_analysis_outputs\images\high_confidence_errors\05_ISIC_0033444_mel_to_nv_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\05_ISIC_0033444_mel_to_nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0025264,akiec,mel,0.9947074,failure_analysis_outputs\images\high_confidence_errors\06_ISIC_0025264_akiec_to_mel_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\06_ISIC_0025264_akiec_to_mel_enhanced.jpg,akiec 被判为 mel，可能因为红褐色混合、局部不均匀和边界复杂，被模型解释为恶性黑色素瘤线索。
ISIC_0029991,bkl,akiec,0.9907898,failure_analysis_outputs\images\high_confidence_errors\07_ISIC_0029991_bkl_to_akiec_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\07_ISIC_0029991_bkl_to_akiec_enhanced.jpg,bkl 被判为 akiec，通常与红褐色、粗糙或角化样区域有关，两类都可能呈现表面角化/鳞屑样视觉线索。
ISIC_0031191,akiec,mel,0.98454946,failure_analysis_outputs\images\high_confidence_errors\08_ISIC_0031191_akiec_to_mel_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\08_ISIC_0031191_akiec_to_mel_enhanced.jpg,akiec 被判为 mel，可能因为红褐色混合、局部不均匀和边界复杂，被模型解释为恶性黑色素瘤线索。
ISIC_0028173,mel,nv,0.98274064,failure_analysis_outputs\images\high_confidence_errors\09_ISIC_0028173_mel_to_nv_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\09_ISIC_0028173_mel_to_nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0033406,nv,mel,0.9820188,failure_analysis_outputs\images\high_confidence_errors\10_ISIC_0033406_nv_to_mel_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\10_ISIC_0033406_nv_to_mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0025366,bkl,nv,0.9761406,failure_analysis_outputs\images\high_confidence_errors\11_ISIC_0025366_bkl_to_nv_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\11_ISIC_0025366_bkl_to_nv_enhanced.jpg,bkl 被判为 nv，常见于病灶较小、颜色集中、角化纹理不明显的样本；模型更容易把它当作普通色素痣。 该图 hair_ratio 较高，毛发或线状背景纹理可能额外干扰边界和局部纹理判断。
ISIC_0029534,nv,vasc,0.97401386,failure_analysis_outputs\images\high_confidence_errors\12_ISIC_0029534_nv_to_vasc_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\12_ISIC_0029534_nv_to_vasc_enhanced.jpg,nv 被判为 vasc，通常是局部蓝紫/红色或圆形高对比区域触发了血管性病变响应。 病灶位于 face，该部位更容易受到毛发、光照或背景纹理影响。
ISIC_0026608,nv,mel,0.9654902,failure_analysis_outputs\images\high_confidence_errors\13_ISIC_0026608_nv_to_mel_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\13_ISIC_0026608_nv_to_mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0031043,akiec,bcc,0.9576061,failure_analysis_outputs\images\high_confidence_errors\14_ISIC_0031043_akiec_to_bcc_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\14_ISIC_0031043_akiec_to_bcc_enhanced.jpg,akiec 被判为 bcc，可能因为面部样本、粉红/红色区域或浅色病灶结构与基底细胞癌相似。 病灶位于 face，该部位更容易受到毛发、光照或背景纹理影响。
ISIC_0028760,mel,nv,0.9481964,failure_analysis_outputs\images\high_confidence_errors\15_ISIC_0028760_mel_to_nv_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\15_ISIC_0028760_mel_to_nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0027066,nv,mel,0.9419058,failure_analysis_outputs\images\high_confidence_errors\16_ISIC_0027066_nv_to_mel_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\16_ISIC_0027066_nv_to_mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。 该图 hair_ratio 较高，毛发或线状背景纹理可能额外干扰边界和局部纹理判断。
ISIC_0032675,bkl,nv,0.9051301,failure_analysis_outputs\images\high_confidence_errors\17_ISIC_0032675_bkl_to_nv_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\17_ISIC_0032675_bkl_to_nv_enhanced.jpg,bkl 被判为 nv，常见于病灶较小、颜色集中、角化纹理不明显的样本；模型更容易把它当作普通色素痣。
ISIC_0024675,mel,nv,0.9050555,failure_analysis_outputs\images\high_confidence_errors\18_ISIC_0024675_mel_to_nv_origin.jpg,failure_analysis_outputs\images\high_confidence_errors\18_ISIC_0024675_mel_to_nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
