image_id,overlap_group,true_label,traditional_pred,deep_pred,deep_confidence,origin_export,enhanced_export,visual_error_note
ISIC_0030107,both_wrong,mel,nv,nv,0.99972177,failure_analysis_outputs\images\both_wrong\01_ISIC_0030107_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\01_ISIC_0030107_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0028611,both_wrong,bkl,nv,akiec,0.99960274,failure_analysis_outputs\images\both_wrong\02_ISIC_0028611_bkl_trad-nv_deep-akiec_origin.jpg,failure_analysis_outputs\images\both_wrong\02_ISIC_0028611_bkl_trad-nv_deep-akiec_enhanced.jpg,bkl 被判为 akiec，通常与红褐色、粗糙或角化样区域有关，两类都可能呈现表面角化/鳞屑样视觉线索。
ISIC_0029289,both_wrong,bkl,nv,nv,0.997402,failure_analysis_outputs\images\both_wrong\03_ISIC_0029289_bkl_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\03_ISIC_0029289_bkl_trad-nv_deep-nv_enhanced.jpg,bkl 被判为 nv，常见于病灶较小、颜色集中、角化纹理不明显的样本；模型更容易把它当作普通色素痣。
ISIC_0033444,both_wrong,mel,bkl,nv,0.9953502,failure_analysis_outputs\images\both_wrong\04_ISIC_0033444_mel_trad-bkl_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\04_ISIC_0033444_mel_trad-bkl_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0025264,both_wrong,akiec,mel,mel,0.9947074,failure_analysis_outputs\images\both_wrong\05_ISIC_0025264_akiec_trad-mel_deep-mel_origin.jpg,failure_analysis_outputs\images\both_wrong\05_ISIC_0025264_akiec_trad-mel_deep-mel_enhanced.jpg,akiec 被判为 mel，可能因为红褐色混合、局部不均匀和边界复杂，被模型解释为恶性黑色素瘤线索。
ISIC_0031191,both_wrong,akiec,nv,mel,0.98454946,failure_analysis_outputs\images\both_wrong\06_ISIC_0031191_akiec_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\both_wrong\06_ISIC_0031191_akiec_trad-nv_deep-mel_enhanced.jpg,akiec 被判为 mel，可能因为红褐色混合、局部不均匀和边界复杂，被模型解释为恶性黑色素瘤线索。
ISIC_0028173,both_wrong,mel,nv,nv,0.98274064,failure_analysis_outputs\images\both_wrong\07_ISIC_0028173_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\07_ISIC_0028173_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0025366,both_wrong,bkl,nv,nv,0.9761406,failure_analysis_outputs\images\both_wrong\08_ISIC_0025366_bkl_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\08_ISIC_0025366_bkl_trad-nv_deep-nv_enhanced.jpg,bkl 被判为 nv，常见于病灶较小、颜色集中、角化纹理不明显的样本；模型更容易把它当作普通色素痣。
ISIC_0028760,both_wrong,mel,nv,nv,0.9481964,failure_analysis_outputs\images\both_wrong\09_ISIC_0028760_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\09_ISIC_0028760_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0032675,both_wrong,bkl,nv,nv,0.9051301,failure_analysis_outputs\images\both_wrong\10_ISIC_0032675_bkl_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\10_ISIC_0032675_bkl_trad-nv_deep-nv_enhanced.jpg,bkl 被判为 nv，常见于病灶较小、颜色集中、角化纹理不明显的样本；模型更容易把它当作普通色素痣。
ISIC_0024675,both_wrong,mel,nv,nv,0.9050555,failure_analysis_outputs\images\both_wrong\11_ISIC_0024675_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\11_ISIC_0024675_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0026369,both_wrong,mel,nv,nv,0.89589006,failure_analysis_outputs\images\both_wrong\12_ISIC_0026369_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\12_ISIC_0026369_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0027797,both_wrong,mel,nv,nv,0.87981856,failure_analysis_outputs\images\both_wrong\13_ISIC_0027797_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\13_ISIC_0027797_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0032929,both_wrong,bkl,nv,mel,0.87456685,failure_analysis_outputs\images\both_wrong\14_ISIC_0032929_bkl_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\both_wrong\14_ISIC_0032929_bkl_trad-nv_deep-mel_enhanced.jpg,bkl 被判为 mel，说明病灶存在深浅不均、边界复杂或斑片状结构，触发了模型的恶性类别响应。
ISIC_0029683,both_wrong,bkl,nv,mel,0.83587,failure_analysis_outputs\images\both_wrong\15_ISIC_0029683_bkl_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\both_wrong\15_ISIC_0029683_bkl_trad-nv_deep-mel_enhanced.jpg,bkl 被判为 mel，说明病灶存在深浅不均、边界复杂或斑片状结构，触发了模型的恶性类别响应。
ISIC_0027151,both_wrong,bkl,nv,nv,0.83290493,failure_analysis_outputs\images\both_wrong\16_ISIC_0027151_bkl_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\16_ISIC_0027151_bkl_trad-nv_deep-nv_enhanced.jpg,bkl 被判为 nv，常见于病灶较小、颜色集中、角化纹理不明显的样本；模型更容易把它当作普通色素痣。
ISIC_0026796,both_wrong,mel,bkl,bkl,0.82928246,failure_analysis_outputs\images\both_wrong\17_ISIC_0026796_mel_trad-bkl_deep-bkl_origin.jpg,failure_analysis_outputs\images\both_wrong\17_ISIC_0026796_mel_trad-bkl_deep-bkl_enhanced.jpg,黑色素瘤被判为 bkl，通常与棕黑色斑片、角化样纹理或颜色不均有关；模型可能把恶性异质性解释成脂溢性角化病纹理。
ISIC_0030849,both_wrong,bkl,akiec,nv,0.8158577,failure_analysis_outputs\images\both_wrong\18_ISIC_0030849_bkl_trad-akiec_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\18_ISIC_0030849_bkl_trad-akiec_deep-nv_enhanced.jpg,bkl 被判为 nv，常见于病灶较小、颜色集中、角化纹理不明显的样本；模型更容易把它当作普通色素痣。
ISIC_0033175,both_wrong,mel,nv,nv,0.78266835,failure_analysis_outputs\images\both_wrong\19_ISIC_0033175_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\19_ISIC_0033175_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0026558,both_wrong,mel,akiec,nv,0.7330991,failure_analysis_outputs\images\both_wrong\20_ISIC_0026558_mel_trad-akiec_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\20_ISIC_0026558_mel_trad-akiec_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0030756,both_wrong,mel,nv,nv,0.7008467,failure_analysis_outputs\images\both_wrong\21_ISIC_0030756_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\21_ISIC_0030756_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0027452,both_wrong,akiec,nv,mel,0.69479656,failure_analysis_outputs\images\both_wrong\22_ISIC_0027452_akiec_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\both_wrong\22_ISIC_0027452_akiec_trad-nv_deep-mel_enhanced.jpg,akiec 被判为 mel，可能因为红褐色混合、局部不均匀和边界复杂，被模型解释为恶性黑色素瘤线索。
ISIC_0024554,both_wrong,mel,bkl,bkl,0.6685736,failure_analysis_outputs\images\both_wrong\23_ISIC_0024554_mel_trad-bkl_deep-bkl_origin.jpg,failure_analysis_outputs\images\both_wrong\23_ISIC_0024554_mel_trad-bkl_deep-bkl_enhanced.jpg,黑色素瘤被判为 bkl，通常与棕黑色斑片、角化样纹理或颜色不均有关；模型可能把恶性异质性解释成脂溢性角化病纹理。
ISIC_0027859,both_wrong,bkl,akiec,mel,0.6676259,failure_analysis_outputs\images\both_wrong\24_ISIC_0027859_bkl_trad-akiec_deep-mel_origin.jpg,failure_analysis_outputs\images\both_wrong\24_ISIC_0027859_bkl_trad-akiec_deep-mel_enhanced.jpg,bkl 被判为 mel，说明病灶存在深浅不均、边界复杂或斑片状结构，触发了模型的恶性类别响应。
ISIC_0025948,both_wrong,akiec,nv,bkl,0.66375214,failure_analysis_outputs\images\both_wrong\25_ISIC_0025948_akiec_trad-nv_deep-bkl_origin.jpg,failure_analysis_outputs\images\both_wrong\25_ISIC_0025948_akiec_trad-nv_deep-bkl_enhanced.jpg,该错误属于视觉相似类别之间的混淆，可能与颜色、边界、局部纹理或病灶尺度有关。
ISIC_0024981,both_wrong,bkl,nv,mel,0.65620875,failure_analysis_outputs\images\both_wrong\26_ISIC_0024981_bkl_trad-nv_deep-mel_origin.jpg,failure_analysis_outputs\images\both_wrong\26_ISIC_0024981_bkl_trad-nv_deep-mel_enhanced.jpg,bkl 被判为 mel，说明病灶存在深浅不均、边界复杂或斑片状结构，触发了模型的恶性类别响应。
ISIC_0026014,both_wrong,akiec,nv,nv,0.64790535,failure_analysis_outputs\images\both_wrong\27_ISIC_0026014_akiec_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\27_ISIC_0026014_akiec_trad-nv_deep-nv_enhanced.jpg,该错误属于视觉相似类别之间的混淆，可能与颜色、边界、局部纹理或病灶尺度有关。
ISIC_0034107,both_wrong,mel,nv,nv,0.60151035,failure_analysis_outputs\images\both_wrong\28_ISIC_0034107_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\28_ISIC_0034107_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0029705,both_wrong,mel,nv,nv,0.5996774,failure_analysis_outputs\images\both_wrong\29_ISIC_0029705_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\29_ISIC_0029705_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0031953,both_wrong,mel,nv,nv,0.59937847,failure_analysis_outputs\images\both_wrong\30_ISIC_0031953_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\30_ISIC_0031953_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0024525,both_wrong,mel,akiec,nv,0.57197416,failure_analysis_outputs\images\both_wrong\31_ISIC_0024525_mel_trad-akiec_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\31_ISIC_0024525_mel_trad-akiec_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0028579,both_wrong,mel,bkl,nv,0.5710021,failure_analysis_outputs\images\both_wrong\32_ISIC_0028579_mel_trad-bkl_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\32_ISIC_0028579_mel_trad-bkl_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0031131,both_wrong,nv,bkl,mel,0.57053614,failure_analysis_outputs\images\both_wrong\33_ISIC_0031131_nv_trad-bkl_deep-mel_origin.jpg,failure_analysis_outputs\images\both_wrong\33_ISIC_0031131_nv_trad-bkl_deep-mel_enhanced.jpg,普通痣被判为黑色素瘤，常见于颜色较深、边界不够规则或局部色素斑明显的样本；这是偏保守的假阳性。
ISIC_0033757,both_wrong,nv,bkl,bkl,0.5600464,failure_analysis_outputs\images\both_wrong\34_ISIC_0033757_nv_trad-bkl_deep-bkl_origin.jpg,failure_analysis_outputs\images\both_wrong\34_ISIC_0033757_nv_trad-bkl_deep-bkl_enhanced.jpg,普通痣被判为 bkl，通常是局部斑点/粗糙纹理强于整体痣结构，模型被局部纹理牵引。
ISIC_0033432,both_wrong,mel,bkl,nv,0.55831766,failure_analysis_outputs\images\both_wrong\35_ISIC_0033432_mel_trad-bkl_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\35_ISIC_0033432_mel_trad-bkl_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0032327,both_wrong,nv,bkl,bkl,0.5393915,failure_analysis_outputs\images\both_wrong\36_ISIC_0032327_nv_trad-bkl_deep-bkl_origin.jpg,failure_analysis_outputs\images\both_wrong\36_ISIC_0032327_nv_trad-bkl_deep-bkl_enhanced.jpg,普通痣被判为 bkl，通常是局部斑点/粗糙纹理强于整体痣结构，模型被局部纹理牵引。
ISIC_0032079,both_wrong,mel,bkl,nv,0.51506674,failure_analysis_outputs\images\both_wrong\37_ISIC_0032079_mel_trad-bkl_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\37_ISIC_0032079_mel_trad-bkl_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0025778,both_wrong,nv,bkl,bkl,0.50602204,failure_analysis_outputs\images\both_wrong\38_ISIC_0025778_nv_trad-bkl_deep-bkl_origin.jpg,failure_analysis_outputs\images\both_wrong\38_ISIC_0025778_nv_trad-bkl_deep-bkl_enhanced.jpg,普通痣被判为 bkl，通常是局部斑点/粗糙纹理强于整体痣结构，模型被局部纹理牵引。
ISIC_0031550,both_wrong,mel,bkl,nv,0.50475854,failure_analysis_outputs\images\both_wrong\39_ISIC_0031550_mel_trad-bkl_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\39_ISIC_0031550_mel_trad-bkl_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0030034,both_wrong,mel,nv,nv,0.46968657,failure_analysis_outputs\images\both_wrong\40_ISIC_0030034_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\40_ISIC_0030034_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
ISIC_0032870,both_wrong,mel,bkl,bkl,0.4336909,failure_analysis_outputs\images\both_wrong\41_ISIC_0032870_mel_trad-bkl_deep-bkl_origin.jpg,failure_analysis_outputs\images\both_wrong\41_ISIC_0032870_mel_trad-bkl_deep-bkl_enhanced.jpg,黑色素瘤被判为 bkl，通常与棕黑色斑片、角化样纹理或颜色不均有关；模型可能把恶性异质性解释成脂溢性角化病纹理。
ISIC_0034005,both_wrong,mel,nv,nv,0.29678175,failure_analysis_outputs\images\both_wrong\42_ISIC_0034005_mel_trad-nv_deep-nv_origin.jpg,failure_analysis_outputs\images\both_wrong\42_ISIC_0034005_mel_trad-nv_deep-nv_enhanced.jpg,黑色素瘤被判为痣，通常说明病灶整体色调/形态接近良性色素痣；若边界过渡弱或局部恶性线索不突出，模型会偏向多数类 nv。
